"Statistic Label","Year","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Children with a Disability","2022","10 - 14 years","Female","Cork City Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Cork County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Kerry County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Limerick City & County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Tipperary County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Waterford City & County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Galway City Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Galway County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Leitrim County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Mayo  County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Roscommon County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Sligo County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Cavan County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Donegal County Council","Number",""
"Children with a Disability","2022","10 - 14 years","Female","Monaghan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Ireland","Number","32965"
"Children with a Disability","2022","15 - 17 years","Both sexes","Carlow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Dublin City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Dún Laoghaire Rathdown County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Fingal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","South Dublin County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Kildare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Kilkenny County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Laois County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Longford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Louth County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Meath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Offaly County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Westmeath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Wexford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Wicklow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Clare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Cork City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Cork County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Kerry County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Limerick City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Tipperary County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Waterford City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Galway City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Galway County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Leitrim County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Mayo  County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Roscommon County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Sligo County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Cavan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Donegal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Both sexes","Monaghan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Ireland","Number","16571"
"Children with a Disability","2022","15 - 17 years","Male","Carlow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Dublin City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Dún Laoghaire Rathdown County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Fingal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","South Dublin County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Kildare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Kilkenny County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Laois County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Longford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Louth County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Meath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Offaly County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Westmeath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Wexford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Wicklow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Clare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Cork City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Cork County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Kerry County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Limerick City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Tipperary County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Waterford City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Galway City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Galway County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Leitrim County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Mayo  County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Roscommon County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Sligo County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Cavan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Donegal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Male","Monaghan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Ireland","Number","16394"
"Children with a Disability","2022","15 - 17 years","Female","Carlow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Dublin City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Dún Laoghaire Rathdown County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Fingal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","South Dublin County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Kildare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Kilkenny County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Laois County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Longford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Louth County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Meath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Offaly County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Westmeath County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Wexford County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Wicklow County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Clare County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Cork City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Cork County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Kerry County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Limerick City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Tipperary County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Waterford City & County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Galway City Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Galway County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Leitrim County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Mayo  County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Roscommon County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Sligo County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Cavan County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Donegal County Council","Number",""
"Children with a Disability","2022","15 - 17 years","Female","Monaghan County Council","Number",""
